username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration
u10346,2044,1576,1686,105,Unknown,1802,1,4320000000
u10347,1189,606,1208,1,mobile,276,0,0
u1035,1581,981,1421,152,mobile,309,1,4320000000
u10350,7,3,0,0,mobile,0,0,0
u10351,61,23,50,1,Unknown,6,1,8640000000
u10354,16,11,6,0,Unknown,0,1,8640000000
u10357,83,57,83,1,mobile,7,0,0
u1036,7,3,0,1,mobile,0,0,0
u10368,21,7,4,0,mobile,0,1,8640000000
u10369,942,653,979,17,mobile,408,0,0
u1037,322,170,301,50,Unknown,0,1,8640000000
u10378,391,231,443,1,mobile,372,0,0
u10379,117,85,109,1,mobile,3,0,0
u10380,22,15,14,1,mobile,1,0,0
u10381,1180,826,1184,9,mobile,15,0,0
u10383,124,92,123,5,mobile,3,0,0
u10384,11,6,2,0,mobile,0,1,8640000000
u10386,0,0,1,1,mobile,0,0,0
u10390,590,450,520,38,mobile,20,0,0
u10391,332,208,337,3,Unknown,67,1,4320000000
u10395,872,494,606,26,mobile,576,1,8640000000
u10409,7,2,5,0,mobile,0,0,0
u10420,171,100,79,3,Unknown,0,1,4320000000
u10424,17,5,9,0,mobile,0,0,0
u10426,19,8,15,0,mobile,0,0,0
u10427,491,244,483,3,mobile,2,0,0
u10430,74,48,72,0,mobile,5,0,0
u10432,61,19,61,1,mobile,2,0,0
u10433,144,88,144,10,mobile,0,0,0
u10434,10,7,0,0,web,48,0,0
u10435,53,28,45,0,Unknown,59,1,8640000000
u10436,243,146,246,5,mobile,11,0,0
u10443,10,5,3,0,mobile,0,0,0
u1046,393,217,210,104,Unknown,0,1,5184000000
u1047,55,38,37,0,mobile,30,1,4320000000
u10480,931,549,964,9,mobile,6,0,0
u10494,56,27,46,0,mobile,0,0,0
u1052,12,7,1,7,web,1,1,4320000000
u10523,217,149,213,0,mobile,10,0,0
u1053,76,38,69,5,mobile,2,0,0
u10537,229,131,185,12,Unknown,216,1,15552000000
u10540,57,23,58,6,mobile,30,1,12960000000
u10541,6,2,0,0,mobile,0,0,0
u10543,24,17,18,0,Unknown,0,1,2592000000
u10551,802,624,523,6,mobile,195,1,4320000000
u10553,264,247,254,0,web,16,0,0
u10554,839,481,873,1,mobile,764,0,0
u10555,68,41,51,0,Unknown,10,1,4320000000
u10556,6,2,0,0,mobile,0,0,0
u10569,155,105,148,3,mobile,0,1,8640000000
u10578,7,4,18,2,Unknown,0,1,8640000000
u10580,438,210,414,132,Unknown,192,0,0
u10581,1144,776,1183,28,mobile,615,1,8640000000
u10587,70,34,60,1,Unknown,1,1,8640000000
u10591,374,203,374,2,mobile,12,0,0
u10592,26,12,27,5,mobile,31,1,4320000000
u10593,558,349,561,2,Unknown,11,1,4320000000
u10594,58,43,49,0,mobile,0,0,0
u10608,485,320,487,25,mobile,78,0,0
u10609,1390,993,1394,49,mobile,10,0,0
u10618,17,11,11,0,mobile,21,1,8640000000
u10619,112,72,108,1,mobile,6,0,0
u10620,3278,2511,2171,23,Unknown,524,1,15552000000
u10621,66,28,57,0,mobile,8,0,0
u10622,9,8,4,0,Unknown,0,1,4320000000
u10623,19,10,27,0,mobile,1,0,0
u10626,432,271,442,1,mobile,155,0,0
u10631,444,279,250,1,Unknown,2,2,11232000000
u10636,86,32,65,12,Unknown,0,1,4320000000
u10637,157,111,196,0,mobile,153,0,0
u10641,297,182,297,20,web,0,0,0
u10683,11,4,1,0,Unknown,0,1,2592000000
u10696,245,169,236,14,mobile,26,1,15552000000
u10720,273,149,137,6,Unknown,112,1,31104000000
u10721,11,6,4,1,web,0,1,8640000000
u10740,8,6,0,0,mobile,0,0,0
u10741,316,204,310,3,mobile,41,1,4320000000
u10742,113,83,126,22,mobile,162,0,0
u10743,1636,980,1710,8,mobile,1275,0,0
u10744,922,551,386,8,Unknown,146,1,4320000000
u10745,209,66,117,10,Unknown,84,1,8640000000
u10747,156,71,67,7,Unknown,8,1,8640000000
u10755,2242,1314,2236,84,mobile,4,0,0
u10768,6,2,0,0,mobile,0,0,0
u10769,947,728,481,37,Unknown,325,1,4320000000
u10780,125,62,130,5,mobile,25,0,0
u10781,38,26,28,0,Unknown,0,1,2592000000
u10782,41,32,67,2,Unknown,15,1,4320000000
u10783,406,345,418,0,web,71,0,0
u10785,171,94,139,5,mobile,18,0,0
u10787,221,115,227,26,Unknown,70,1,4320000000
u10790,7,4,0,0,mobile,0,0,0
u10793,12,6,6,0,Unknown,0,1,8640000000
u10794,1314,774,729,21,Unknown,1,1,8640000000
u10797,6,3,0,0,mobile,1,0,0
u10800,482,260,536,27,mobile,178,0,0
u10801,493,350,458,1,mobile,36,0,0
u10803,63,46,42,0,Unknown,3,1,10368000000
u10805,10,4,0,0,mobile,0,0,0
u10806,453,275,288,9,mobile,111,1,6480000000
u10807,1094,702,1083,0,mobile,8,0,0
u10810,30,14,23,0,mobile,1,0,0
u10812,1,1,1,0,Unknown,0,1,4320000000
u10813,6,3,0,0,mobile,0,0,0
u10816,319,137,318,5,mobile,25,0,0
u10817,6,2,0,0,web,2,0,0
u10828,154,97,123,0,Unknown,47,2,31104000000
u10838,258,191,309,10,mobile,269,0,0
u10839,3105,2379,3125,0,mobile,1654,0,0
u1084,8,4,2,7,mobile,0,0,0
u1085,150,97,166,5,mobile,72,0,0
u10866,10,6,3,0,mobile,2,0,0
u10899,15,11,12,0,Unknown,0,1,8640000000
u1090,22,11,20,3,Unknown,3,1,4320000000
u10906,21,10,23,1,web,0,1,4320000000
u1091,345,208,293,11,web,468,1,2592000000
u10912,649,407,424,38,mobile,398,1,15552000000
u10913,18,6,14,2,Unknown,0,1,8640000000
u10948,174,114,179,5,mobile,3,0,0
u10949,1323,774,1368,70,Unknown,1106,2,36288000000
u10958,5,5,1,0,Unknown,5,1,8640000000
u10960,162,83,152,2,mobile,5,0,0
u10961,1692,1168,1439,27,mobile,763,1,8640000000
u10962,2511,1563,1669,109,Unknown,855,2,17280000000
u10963,845,489,337,0,mobile,4,1,8640000000
u10964,1142,788,658,17,Unknown,418,1,10368000000
u10965,11,5,4,0,mobile,0,0,0
u10966,7,7,0,0,web,0,0,0
u10973,391,232,381,3,mobile,0,0,0
u10974,16,6,7,0,mobile,0,0,0
u10988,1655,1220,1643,3,mobile,4,0,0
u10989,1,1,0,0,mobile,4,0,0
u10998,196,125,148,12,Unknown,91,1,8640000000
u11007,27,13,19,0,web,6,0,0
u11013,31,17,21,0,mobile,0,1,8640000000
u11049,0,0,0,18,Unknown,0,1,8640000000
u11059,472,302,483,18,web,2,0,0
u11060,6,2,0,0,mobile,0,0,0
u11062,1000,720,332,3,Unknown,0,2,11232000000
u11064,160,102,168,2,Unknown,96,1,2592000000
u11067,564,377,1084,30,mobile,713,1,4320000000
u11071,307,177,306,10,mobile,4,0,0
u11072,2129,1602,1799,90,Unknown,343,3,36288000000
u11073,8,5,0,0,mobile,0,0,0
u11075,339,176,328,9,mobile,11,0,0
u11088,166,121,111,9,Unknown,0,1,15552000000
u11089,6,2,3,11,mobile,0,1,12960000000
u11100,7,4,0,0,mobile,0,0,0
u11102,11,9,9,18,Unknown,13,1,8640000000
u11103,198,129,202,13,Unknown,7,1,10368000000
u11104,494,399,523,18,mobile,0,0,0
u11105,69,33,59,0,mobile,1,0,0
u11106,1292,441,1106,10,mobile,93,1,8640000000
u11110,7,0,0,0,mobile,0,0,0
u11111,3,1,0,0,mobile,0,0,0
u11112,27,13,33,1,mobile,0,1,8640000000
u11116,198,149,197,1,mobile,62,0,0
u11172,6,2,0,0,web,0,1,8640000000
u11198,1489,1171,1482,1,mobile,10,0,0
u11204,6,4,0,0,web,0,0,0
u11210,547,338,469,12,Unknown,176,1,4320000000
u11238,3524,2043,2127,93,Unknown,1721,1,8640000000
u11239,12,9,5,0,mobile,3,0,0
u11248,125,75,137,3,Unknown,0,1,2592000000
u11249,44,33,36,0,mobile,5,0,0
u11258,71,41,72,1,Unknown,25,1,15552000000
u11259,87,39,36,1,Unknown,1,1,12960000000
u1126,256,171,123,3,mobile,0,1,2592000000
u11260,44,23,33,0,mobile,0,1,4320000000
u11262,1007,663,637,61,Unknown,715,1,8640000000
u11263,226,156,209,3,mobile,1,0,0
u11264,781,473,1096,7,web,580,1,8640000000
u11265,10,5,0,0,web,9,0,0
u1127,9,5,0,0,mobile,0,0,0
u11272,78,56,70,2,Unknown,0,1,4320000000
u11273,229,146,165,0,Unknown,0,1,4320000000
u11301,233,177,226,0,mobile,0,0,0
u11304,335,207,364,17,Unknown,126,1,8640000000
u11306,67,41,64,26,mobile,32,1,2592000000
u11312,65,39,65,1,mobile,0,1,4320000000
u11314,190,132,192,4,mobile,188,0,0
u1132,71,46,64,1,mobile,0,2,11664000000
u11328,31,21,35,0,mobile,0,0,0
u11329,10,8,0,0,web,0,0,0
u1133,72,50,57,4,Unknown,0,1,5184000000
u11364,16,9,8,0,mobile,0,0,0
u1140,14,12,14,9,Unknown,0,1,4320000000
u11403,5328,3739,5453,31,Unknown,4078,2,24192000000
u11416,3509,2617,3500,30,mobile,14,0,0
u11417,42,26,34,0,mobile,0,0,0
u1142,1213,679,977,49,Unknown,558,1,15552000000
u1144,910,604,507,23,Unknown,346,1,4320000000
u11448,6,2,0,0,web,0,0,0
u11449,7,2,1,0,Unknown,0,1,8640000000
u1145,5576,3345,3384,49,web,4754,2,17280000000
u11459,138,77,130,0,mobile,0,0,0
u1146,566,344,348,8,Unknown,168,1,4320000000
u11460,22,12,15,0,mobile,1,0,0
u11461,25,17,15,0,mobile,10,0,0
u11462,4,3,0,0,mobile,3,0,0
u11463,51,40,52,20,Unknown,0,1,12960000000
u11464,17,13,9,0,mobile,0,0,0
u11465,7,1,0,0,mobile,0,0,0
u11467,397,302,359,29,Unknown,105,1,4320000000
u1147,335,245,149,18,mobile,0,0,0
u11470,682,489,669,7,mobile,2,0,0
u11471,12,6,4,0,mobile,2,0,0
u11475,14,7,4,0,mobile,0,0,0
u11488,238,165,173,27,mobile,94,1,5184000000
u11489,10,4,0,0,web,1,0,0
u1150,55,25,53,0,mobile,1,0,0
u11500,7,5,0,0,mobile,0,0,0
u11504,1551,899,1107,0,web,13,1,4320000000
u11505,1303,837,346,4,web,39,1,6480000000
u11506,47,15,39,0,mobile,6,0,0
u11507,675,432,732,2,mobile,426,0,0
u1151,11,3,1,0,mobile,1,0,0
u11514,184,133,216,9,mobile,136,1,5184000000
u1152,726,523,726,50,mobile,469,1,4320000000
u11529,627,268,526,10,Unknown,257,1,6480000000
u1154,3988,2754,3830,156,Unknown,9,2,9504000000
u1155,19,10,12,7,web,6,0,0
u1156,320,214,321,9,mobile,81,0,0
u11563,16,10,4,0,Unknown,15,1,4320000000
u1157,122,76,121,0,Unknown,0,1,4320000000
u11589,65,35,36,0,Unknown,11,1,31536000000
u11600,7,3,2,0,mobile,3,1,4320000000
u11601,14,5,7,1,mobile,0,0,0
u11615,8,6,0,1,mobile,0,1,8640000000
u11629,27,10,17,0,mobile,14,0,0
u11649,3,1,0,0,mobile,1,0,0
u11659,6,3,0,0,web,0,0,0
u11660,20,13,18,0,Unknown,1,1,2592000000
u11663,1040,791,950,20,web,0,0,0
u11664,1072,648,1139,12,mobile,569,0,0
u11665,122,33,97,2,Unknown,3,1,12960000000
u11666,23,13,13,3,Unknown,7,1,8640000000
u11667,2010,1375,1831,142,Unknown,1519,2,19872000000
u11671,132,69,85,1,Unknown,117,1,8640000000
u11675,152,88,145,1,mobile,2,0,0
u11677,101,68,132,1,mobile,28,1,2592000000
u1168,0,0,2,0,Unknown,0,1,5184000000
u11688,10,10,0,0,web,3,0,0
u11689,2,0,3,3,Unknown,0,2,13824000000
u1169,8,3,1,0,mobile,0,0,0
u11698,111,75,106,2,web,4,1,8640000000
u11699,70,46,72,0,Unknown,52,1,4320000000
u117,660,411,646,2,mobile,18,0,0
u11700,99,56,63,1,Unknown,0,1,2592000000
u11701,1,1,0,0,mobile,0,0,0
u11703,261,173,254,16,mobile,195,0,0
u11707,26,10,19,0,web,1,0,0
u11711,43,31,26,0,Unknown,0,1,4320000000
u11713,31,18,26,2,mobile,21,0,0
u11716,239,146,242,5,mobile,160,0,0
u11717,1012,704,1019,32,mobile,73,0,0
u11738,13,6,7,14,mobile,1,1,5184000000
u11739,26,18,25,0,Unknown,0,1,8640000000
u1178,779,589,649,18,mobile,0,2,12960000000
u1179,18,11,15,4,Unknown,0,1,8640000000
u1180,284,107,267,63,Unknown,23,1,15552000000
u1181,249,171,246,16,mobile,65,1,5184000000
u1182,25,19,16,1,mobile,4,0,0
u1183,54,37,54,0,mobile,1,0,0
u11832,68,34,32,0,Unknown,9,1,4320000000
u11833,24,14,25,1,Unknown,1,1,8640000000
u1184,151,108,144,8,mobile,110,0,0
u11844,228,176,240,3,mobile,185,1,8640000000
u11845,232,93,85,1,web,1,1,8640000000
u11846,43,21,38,0,mobile,21,1,15552000000
u11847,27,16,48,2,Unknown,2,1,8640000000
u1185,163,109,108,3,mobile,9,0,0
u11851,42,25,30,9,Unknown,14,3,29376000000
u11852,24,17,29,0,mobile,0,0,0
u11853,292,210,308,13,Unknown,0,1,6480000000
u11855,130,85,107,30,Unknown,16,1,2592000000
u11856,614,485,259,3,Unknown,272,1,8640000000
u11857,1686,973,1148,18,mobile,192,1,4320000000
u1186,213,161,125,5,Unknown,48,1,5184000000
u1187,518,320,198,7,Unknown,185,1,15552000000
u11879,107,63,89,0,web,1,1,8640000000
u11880,6,2,0,0,web,0,0,0
u11884,97,55,88,0,Unknown,36,1,8640000000
u11885,91,57,91,12,Unknown,4,1,6480000000
u11886,6,5,0,0,mobile,0,0,0
u11893,164,108,167,2,mobile,64,0,0
u11896,363,249,286,23,mobile,74,1,8640000000
u11897,2191,1407,2304,217,mobile,1148,2,31104000000
u1190,71,46,61,3,web,0,0,0
u1191,7,4,0,0,mobile,1,0,0
u11918,24,18,20,0,web,0,0,0
u1192,611,459,278,3,mobile,0,1,10368000000
u11920,851,623,332,20,Unknown,603,1,2592000000
u11924,154,99,146,1,mobile,0,0,0
u11925,285,167,277,2,mobile,0,0,0
u11926,247,159,331,1,mobile,0,1,8640000000
u1193,203,137,199,7,Unknown,50,2,9504000000
u11930,3,1,0,0,web,0,0,0
u11931,6,3,9,5,Unknown,1,2,19008000000
u11932,288,134,186,37,web,101,1,8640000000
u11935,46,28,35,0,mobile,0,0,0
u1194,30,18,28,1,Unknown,44,1,5184000000
u11946,62,24,55,1,mobile,4,0,0
u1195,187,130,182,1,mobile,0,0,0
u11952,19,9,11,0,mobile,2,0,0
u1196,13,5,5,0,mobile,0,0,0
u1197,63,44,32,3,Unknown,24,1,5184000000
u11985,17,7,11,0,mobile,0,1,4320000000
u11991,619,345,236,47,Unknown,74,1,6480000000
u12019,108,59,40,0,Unknown,0,1,4320000000
u12023,448,307,453,5,Unknown,125,1,8640000000
u12030,189,138,187,7,mobile,8,0,0
u12031,6,3,0,0,web,0,0,0
u12032,34,19,27,1,mobile,0,0,0
u12033,53,24,50,0,Unknown,17,1,8640000000
u12035,8,3,0,0,web,0,0,0
u12037,536,358,530,36,mobile,69,0,0
u12042,322,195,328,4,mobile,51,1,4320000000
u1208,883,567,559,65,Unknown,0,2,15552000000
u12080,77,59,82,0,mobile,27,0,0
u12081,7,5,18,7,Unknown,0,1,8640000000
u1209,73,52,66,4,mobile,0,0,0
u12094,699,339,730,3,mobile,117,0,0
u12141,26,8,28,0,Unknown,0,1,8640000000
u12143,388,207,393,2,mobile,7,0,0
u12144,1126,575,461,3,Unknown,3,1,4320000000
u12151,1308,851,1311,32,mobile,267,0,0
u12152,110,62,62,1,Unknown,53,1,12960000000
u12153,10,4,0,0,web,0,0,0
u12155,608,241,351,18,Unknown,181,2,6912000000
u12156,591,337,219,2,Unknown,2,1,8640000000
u12157,21,5,10,0,web,1,0,0
u12169,6,4,0,0,web,0,0,0
u1218,1700,1053,1788,34,Unknown,1088,1,15552000000
u12183,4766,3779,3472,151,Unknown,49,1,15552000000
u12184,463,323,410,8,Unknown,1,2,24192000000
u12185,1377,911,1359,17,mobile,82,1,4320000000
u12186,668,389,447,81,Unknown,456,1,12960000000
u1219,4250,2856,2520,107,Unknown,1468,1,5184000000
u12194,8,3,4,0,mobile,0,0,0
u12195,9,7,0,0,web,0,0,0
u12196,732,384,297,5,mobile,155,1,8640000000
u12197,0,0,1,0,Unknown,0,1,6480000000
u1220,5445,4213,5455,107,mobile,2,1,4320000000
u12209,68,39,62,5,Unknown,0,1,4320000000
u12218,858,591,487,25,mobile,140,1,4320000000
u12219,7,2,0,0,web,1,0,0
u12221,81,63,55,0,Unknown,11,1,2592000000
u12222,192,149,209,0,mobile,121,0,0
u12223,138,105,134,2,mobile,0,0,0
u12224,612,341,609,6,mobile,141,0,0
u12225,74,48,88,1,mobile,111,1,2592000000
u12226,249,176,242,9,mobile,99,0,0
u12231,205,129,213,3,web,39,0,0
u12234,86,53,85,0,mobile,48,0,0
u12235,725,584,484,40,Unknown,186,2,33696000000
u12237,69,40,60,1,Unknown,22,1,8640000000
u1224,552,392,558,7,mobile,225,0,0
u12240,65,36,55,1,Unknown,0,1,8640000000
u1225,789,520,648,25,Unknown,0,2,9504000000
u1227,964,608,940,89,Unknown,3,1,5184000000
u12283,129,74,51,1,Unknown,21,1,8640000000
u12297,19,9,12,0,mobile,0,1,4320000000
u1230,474,298,505,215,mobile,359,1,8640000000
u12309,217,146,265,0,mobile,203,0,0
u1231,2390,1809,1778,9,web,1344,2,10368000000
u1232,193,134,155,6,mobile,2,1,8640000000
u12320,1123,748,814,51,Unknown,435,3,12096000000
u12321,1427,1060,958,48,web,0,1,2592000000
u12334,97,51,92,3,mobile,3,1,8640000000
u12335,38,20,23,1,web,1,0,0
u1234,353,237,310,3,mobile,15,1,5184000000
u12340,41,20,34,0,mobile,2,0,0
u12342,5,2,0,0,mobile,0,0,0
u12343,2,0,0,0,web,0,0,0
u12344,121,75,147,0,mobile,71,0,0
u12345,12,8,25,0,Unknown,4,1,12960000000
u12347,8,3,10,0,web,32,0,0
u1235,8,4,1,0,mobile,0,0,0
u12350,7,2,0,0,mobile,6,0,0
u12354,63,53,63,1,Unknown,18,1,2592000000
u12355,4,2,0,0,mobile,0,0,0
u12356,878,645,866,5,mobile,8,0,0
u1236,400,282,396,36,Unknown,1,1,5184000000
u12369,7,4,0,0,mobile,0,0,0
u1237,839,526,621,72,mobile,214,1,2592000000
u12378,2026,1226,1948,119,mobile,2984,1,4320000000
u12380,231,156,230,9,Unknown,3,1,15552000000
u12382,201,130,199,1,mobile,2,0,0
u12383,6,2,0,0,mobile,0,0,0
u12384,28,17,24,0,Unknown,1,1,8640000000
u12387,975,580,985,17,mobile,480,0,0
u123893,50,36,40,0,mobile,0,0,0
u12390,1617,939,805,28,web,646,2,12960000000
u12391,7,2,3,0,Unknown,0,1,8640000000
u12392,6,2,0,0,mobile,0,0,0
u12397,179,104,201,1,mobile,184,0,0
u12418,1101,644,1145,5,mobile,1068,1,31104000000
u12419,0,0,2,0,Unknown,0,2,17280000000
u12420,403,304,137,15,Unknown,0,2,9504000000
u12423,25,12,22,0,Unknown,0,1,8640000000
u12426,6,3,0,0,web,1,0,0
u12427,106,63,80,3,mobile,0,1,8640000000
u12433,821,501,834,4,mobile,368,0,0
u12436,15,12,15,0,Unknown,17,1,6480000000
u12437,225,147,165,7,Unknown,32,1,8640000000
u12446,235,140,121,14,Unknown,8,1,4320000000
u1245,661,421,584,21,web,159,0,0
u12484,27,15,19,0,mobile,0,0,0
u1251,212,155,227,6,web,140,1,8640000000
u12532,3,0,0,0,mobile,0,0,0
u12540,6,2,0,0,web,0,0,0
u12541,77,67,76,2,web,0,0,0
u12543,6,1,0,0,mobile,0,0,0
u12545,10,3,0,0,web,0,0,0
u12547,164,102,184,7,mobile,63,1,4320000000
u12551,132,83,146,13,Unknown,10,1,8640000000
u12554,104,46,67,15,Unknown,140,1,8640000000
u12555,56,26,48,0,mobile,0,0,0
u12569,635,390,266,0,Unknown,1,1,2592000000
u12581,563,400,554,1,mobile,605,1,2592000000
u12583,142,95,141,1,mobile,4,1,6480000000
u12585,7,2,0,0,mobile,0,0,0
u12587,311,176,316,1,mobile,0,0,0
u12590,10,4,2,0,web,1,0,0
u12591,9,4,0,0,mobile,0,0,0
u12594,134,85,165,1,mobile,284,1,4320000000
u12596,148,106,152,4,mobile,4,1,8640000000
u12618,2610,1628,1634,12,Unknown,3,1,8640000000
u12621,9,5,1,0,mobile,5,0,0
u12622,35,26,27,0,web,1,0,0
u12625,36,27,26,0,mobile,0,0,0
u12626,56,26,41,9,Unknown,5,1,4320000000
u12627,6,2,0,0,mobile,1,0,0
u12634,7,2,6,0,Unknown,0,1,8640000000
u12635,23,13,19,0,mobile,3,0,0
u12637,6,3,0,0,mobile,0,0,0
u12644,763,459,514,5,Unknown,77,2,8640000000
u12686,2,0,0,0,mobile,1,0,0
u12692,10,4,0,1,Unknown,3,1,10368000000
u12693,3,3,6,0,Unknown,0,1,4320000000
u12718,15,7,14,0,Unknown,10,1,2592000000
u12719,213,136,174,5,web,118,1,4320000000
u12741,329,186,222,0,Unknown,47,1,5184000000
u12743,1839,1022,1839,90,mobile,128,2,20736000000
u12747,5,3,0,0,mobile,1,0,0
u12750,7,2,0,0,mobile,0,0,0
u12751,184,69,128,3,web,56,1,8640000000
u12753,10,8,0,0,web,0,0,0
u12754,440,275,435,5,mobile,1,0,0
u12755,1,0,0,0,mobile,0,0,0
u12756,105,63,93,1,mobile,0,0,0
u12779,144,88,153,11,Unknown,195,1,8640000000
u12781,9,6,2,0,mobile,0,0,0
u12782,7,2,0,0,mobile,0,0,0
u1279,3150,2343,3330,34,mobile,2759,1,6480000000
u12792,3,1,0,0,mobile,0,0,0
u12794,394,291,396,28,mobile,106,0,0
u12796,360,227,360,8,mobile,2,0,0
u12800,154,109,149,7,mobile,33,0,0
u12803,162,99,158,6,mobile,68,0,0
u12805,15,8,5,0,mobile,0,0,0
u12806,9,5,0,0,web,0,1,8640000000
u12807,591,357,737,27,mobile,127,1,8640000000
u12810,1050,661,544,12,web,199,1,8640000000
u12811,0,0,20,1,Unknown,0,2,5184000000
u12812,605,413,592,7,mobile,173,1,8640000000
u12815,136,96,47,1,Unknown,42,1,4320000000
u12817,49,28,40,0,mobile,0,0,0
u12828,256,179,236,21,mobile,0,1,8640000000
u1286,85,62,73,1,mobile,30,0,0
u12877,334,206,355,0,mobile,556,0,0
u12888,40,28,40,0,mobile,0,0,0
u12889,161,92,131,33,mobile,44,2,17280000000
u12902,135,63,99,1,web,1,1,8640000000
u12916,431,206,245,0,Unknown,295,1,8640000000
u12917,140,89,116,0,Unknown,114,1,4320000000
u1292,522,312,390,41,Unknown,158,1,4320000000
u12949,7,4,0,0,mobile,0,0,0
u12958,8,1,6,4,mobile,0,1,8640000000
u12962,12,5,4,0,mobile,0,0,0
u12964,7,3,2,1,mobile,0,1,8640000000
u12965,1389,626,1059,20,Unknown,7,2,13824000000
u12966,8,4,2,1,Unknown,0,1,12960000000
u12972,196,84,129,0,web,17,1,8640000000
u12973,167,118,165,15,mobile,0,0,0
u12974,194,125,188,0,mobile,26,0,0
u12976,674,520,667,0,mobile,1,0,0
u12989,12,9,12,0,mobile,0,0,0
u12998,254,140,253,1,mobile,1,0,0
u12999,132,101,123,2,mobile,52,0,0
u13003,74,53,98,4,Unknown,48,1,8640000000
u13016,196,142,206,8,Unknown,32,1,2592000000
u13049,730,512,748,29,mobile,25,0,0
u13058,817,514,593,22,web,836,1,2592000000
u13059,1140,656,1211,58,mobile,615,2,17280000000
u13061,406,294,396,1,mobile,2,0,0
u13062,85,48,80,0,mobile,0,1,4320000000
u13064,108,80,102,3,Unknown,0,3,9504000000
u13066,55,30,52,1,mobile,4,0,0
u13070,2008,1566,2165,4,mobile,1694,0,0
u13071,731,577,458,58,web,343,2,28080000000
u13072,1324,912,494,1,Unknown,395,1,5184000000
u13075,28,12,23,0,mobile,10,0,0
u13098,689,496,694,17,mobile,163,0,0
u13101,2656,1586,1626,2,Unknown,689,1,12960000000
u13102,28,15,21,0,mobile,7,0,0
u13103,29,16,28,0,web,0,1,31104000000
u13106,26,16,28,0,Unknown,10,1,8640000000
u13111,292,224,279,7,Unknown,1,2,17280000000
u13113,55,32,50,0,mobile,0,0,0
u13115,9,5,1,0,Unknown,2,1,8640000000
u13117,24,17,5,1,Unknown,0,1,6480000000
