,username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration,accuracy
140,u10720,273,149,137,6,Unknown,112,1,8640.0,0.5457875457875457
141,u10721,11,6,4,1,web,0,1,2400.0,0.5454545454545454
142,u10740,8,6,0,0,mobile,0,0,0.0,0.75
143,u10741,316,204,310,3,mobile,41,1,1200.0,0.6455696202531646
144,u10742,113,83,126,22,mobile,162,0,0.0,0.7345132743362832
145,u10743,1636,980,1710,8,mobile,1275,0,0.0,0.5990220048899756
146,u10744,922,551,386,8,Unknown,146,1,1200.0,0.5976138828633406
147,u10745,209,66,117,10,Unknown,84,1,2400.0,0.3157894736842105
148,u10747,156,71,67,7,Unknown,8,1,2400.0,0.4551282051282051
149,u10755,2242,1314,2236,84,mobile,4,0,0.0,0.5860838537020517
150,u10768,6,2,0,0,mobile,0,0,0.0,0.3333333333333333
151,u10769,947,728,481,37,Unknown,325,1,1200.0,0.7687434002111933
152,u10780,125,62,130,5,mobile,25,0,0.0,0.496
153,u10781,38,26,28,0,Unknown,0,1,720.0,0.6842105263157895
154,u10782,41,32,67,2,Unknown,15,1,1200.0,0.7804878048780488
155,u10783,406,345,418,0,web,71,0,0.0,0.8497536945812808
156,u10785,171,94,139,5,mobile,18,0,0.0,0.5497076023391813
157,u10787,221,115,227,26,Unknown,70,1,1200.0,0.5203619909502263
158,u10790,7,4,0,0,mobile,0,0,0.0,0.5714285714285714
159,u10793,12,6,6,0,Unknown,0,1,2400.0,0.5
160,u10794,1314,774,729,21,Unknown,1,1,2400.0,0.589041095890411
161,u10797,6,3,0,0,mobile,1,0,0.0,0.5
162,u10800,482,260,536,27,mobile,178,0,0.0,0.5394190871369294
163,u10801,493,350,458,1,mobile,36,0,0.0,0.7099391480730223
164,u10803,63,46,42,0,Unknown,3,1,2880.0,0.7301587301587301
165,u10805,10,4,0,0,mobile,0,0,0.0,0.4
166,u10806,453,275,288,9,mobile,111,1,1800.0,0.6070640176600441
167,u10807,1094,702,1083,0,mobile,8,0,0.0,0.6416819012797075
168,u10810,30,14,23,0,mobile,1,0,0.0,0.4666666666666667
169,u10812,1,1,1,0,Unknown,0,1,1200.0,1.0
170,u10813,6,3,0,0,mobile,0,0,0.0,0.5
171,u10816,319,137,318,5,mobile,25,0,0.0,0.42946708463949845
172,u10817,6,2,0,0,web,2,0,0.0,0.3333333333333333
173,u10828,154,97,123,0,Unknown,47,2,8640.0,0.6298701298701299
174,u10838,258,191,309,10,mobile,269,0,0.0,0.7403100775193798
175,u10839,3105,2379,3125,0,mobile,1654,0,0.0,0.7661835748792271
176,u1084,8,4,2,7,mobile,0,0,0.0,0.5
177,u1085,150,97,166,5,mobile,72,0,0.0,0.6466666666666666
178,u10866,10,6,3,0,mobile,2,0,0.0,0.6
179,u10899,15,11,12,0,Unknown,0,1,2400.0,0.7333333333333333
180,u1090,22,11,20,3,Unknown,3,1,1200.0,0.5
181,u10906,21,10,23,1,web,0,1,1200.0,0.47619047619047616
182,u1091,345,208,293,11,web,468,1,720.0,0.6028985507246377
183,u10912,649,407,424,38,mobile,398,1,4320.0,0.6271186440677966
184,u10913,18,6,14,2,Unknown,0,1,2400.0,0.3333333333333333
185,u10948,174,114,179,5,mobile,3,0,0.0,0.6551724137931034
186,u10949,1323,774,1368,70,Unknown,1106,2,10080.0,0.5850340136054422
187,u10958,5,5,1,0,Unknown,5,1,2400.0,1.0
188,u10960,162,83,152,2,mobile,5,0,0.0,0.5123456790123457
189,u10961,1692,1168,1439,27,mobile,763,1,2400.0,0.6903073286052009
190,u10962,2511,1563,1669,109,Unknown,855,2,4800.0,0.6224611708482676
191,u10963,845,489,337,0,mobile,4,1,2400.0,0.578698224852071
192,u10964,1142,788,658,17,Unknown,418,1,2880.0,0.6900175131348512
193,u10965,11,5,4,0,mobile,0,0,0.0,0.45454545454545453
194,u10966,7,7,0,0,web,0,0,0.0,1.0
195,u10973,391,232,381,3,mobile,0,0,0.0,0.5933503836317136
196,u10974,16,6,7,0,mobile,0,0,0.0,0.375
197,u10988,1655,1220,1643,3,mobile,4,0,0.0,0.7371601208459214
198,u10989,1,1,0,0,mobile,4,0,0.0,1.0
199,u10998,196,125,148,12,Unknown,91,1,2400.0,0.6377551020408163
200,u11007,27,13,19,0,web,6,0,0.0,0.48148148148148145
201,u11013,31,17,21,0,mobile,0,1,2400.0,0.5483870967741935
202,u11049,0,0,0,18,Unknown,0,1,2400.0,0.0
203,u11059,472,302,483,18,web,2,0,0.0,0.6398305084745762
204,u11060,6,2,0,0,mobile,0,0,0.0,0.3333333333333333
205,u11062,1000,720,332,3,Unknown,0,2,3120.0,0.72
206,u11064,160,102,168,2,Unknown,96,1,720.0,0.6375
207,u11067,564,377,1084,30,mobile,713,1,1200.0,0.6684397163120568
208,u11071,307,177,306,10,mobile,4,0,0.0,0.5765472312703583
209,u11072,2129,1602,1799,90,Unknown,343,3,10080.0,0.7524659464537341
210,u11073,8,5,0,0,mobile,0,0,0.0,0.625
211,u11075,339,176,328,9,mobile,11,0,0.0,0.5191740412979351
212,u11088,166,121,111,9,Unknown,0,1,4320.0,0.7289156626506024
213,u11089,6,2,3,11,mobile,0,1,3600.0,0.3333333333333333
214,u11100,7,4,0,0,mobile,0,0,0.0,0.5714285714285714
215,u11102,11,9,9,18,Unknown,13,1,2400.0,0.8181818181818182
216,u11103,198,129,202,13,Unknown,7,1,2880.0,0.6515151515151515
217,u11104,494,399,523,18,mobile,0,0,0.0,0.8076923076923077
218,u11105,69,33,59,0,mobile,1,0,0.0,0.4782608695652174
219,u11106,1292,441,1106,10,mobile,93,1,2400.0,0.3413312693498452
220,u11110,7,0,0,0,mobile,0,0,0.0,0.0
221,u11111,3,1,0,0,mobile,0,0,0.0,0.3333333333333333
222,u11112,27,13,33,1,mobile,0,1,2400.0,0.48148148148148145
223,u11116,198,149,197,1,mobile,62,0,0.0,0.7525252525252525
224,u11172,6,2,0,0,web,0,1,2400.0,0.3333333333333333
225,u11198,1489,1171,1482,1,mobile,10,0,0.0,0.7864338482202821
226,u11204,6,4,0,0,web,0,0,0.0,0.6666666666666666
227,u11210,547,338,469,12,Unknown,176,1,1200.0,0.6179159049360147
228,u11238,3524,2043,2127,93,Unknown,1721,1,2400.0,0.5797389330306469
229,u11239,12,9,5,0,mobile,3,0,0.0,0.75
230,u11248,125,75,137,3,Unknown,0,1,720.0,0.6
231,u11249,44,33,36,0,mobile,5,0,0.0,0.75
232,u11258,71,41,72,1,Unknown,25,1,4320.0,0.5774647887323944
233,u11259,87,39,36,1,Unknown,1,1,3600.0,0.4482758620689655
234,u1126,256,171,123,3,mobile,0,1,720.0,0.66796875
235,u11260,44,23,33,0,mobile,0,1,1200.0,0.5227272727272727
236,u11262,1007,663,637,61,Unknown,715,1,2400.0,0.6583912611717975
237,u11263,226,156,209,3,mobile,1,0,0.0,0.6902654867256637
238,u11264,781,473,1096,7,web,580,1,2400.0,0.6056338028169014
239,u11265,10,5,0,0,web,9,0,0.0,0.5
240,u1127,9,5,0,0,mobile,0,0,0.0,0.5555555555555556
241,u11272,78,56,70,2,Unknown,0,1,1200.0,0.717948717948718
242,u11273,229,146,165,0,Unknown,0,1,1200.0,0.6375545851528385
243,u11301,233,177,226,0,mobile,0,0,0.0,0.759656652360515
244,u11304,335,207,364,17,Unknown,126,1,2400.0,0.6179104477611941
245,u11306,67,41,64,26,mobile,32,1,720.0,0.6119402985074627
246,u11312,65,39,65,1,mobile,0,1,1200.0,0.6
247,u11314,190,132,192,4,mobile,188,0,0.0,0.6947368421052632
248,u1132,71,46,64,1,mobile,0,2,3240.0,0.647887323943662
249,u11328,31,21,35,0,mobile,0,0,0.0,0.6774193548387096
250,u11329,10,8,0,0,web,0,0,0.0,0.8
251,u1133,72,50,57,4,Unknown,0,1,1440.0,0.6944444444444444
252,u11364,16,9,8,0,mobile,0,0,0.0,0.5625
253,u1140,14,12,14,9,Unknown,0,1,1200.0,0.8571428571428571
254,u11403,5328,3739,5453,31,Unknown,4078,2,6720.0,0.7017642642642643
255,u11416,3509,2617,3500,30,mobile,14,0,0.0,0.7457965232259903
256,u11417,42,26,34,0,mobile,0,0,0.0,0.6190476190476191
257,u1142,1213,679,977,49,Unknown,558,1,4320.0,0.5597691673536686
258,u1144,910,604,507,23,Unknown,346,1,1200.0,0.6637362637362637
259,u11448,6,2,0,0,web,0,0,0.0,0.3333333333333333
260,u11449,7,2,1,0,Unknown,0,1,2400.0,0.2857142857142857
261,u1145,5576,3345,3384,49,web,4754,2,4800.0,0.5998923959827833
262,u11459,138,77,130,0,mobile,0,0,0.0,0.5579710144927537
263,u1146,566,344,348,8,Unknown,168,1,1200.0,0.607773851590106
264,u11460,22,12,15,0,mobile,1,0,0.0,0.5454545454545454
265,u11461,25,17,15,0,mobile,10,0,0.0,0.68
266,u11462,4,3,0,0,mobile,3,0,0.0,0.75
267,u11463,51,40,52,20,Unknown,0,1,3600.0,0.7843137254901961
268,u11464,17,13,9,0,mobile,0,0,0.0,0.7647058823529411
269,u11465,7,1,0,0,mobile,0,0,0.0,0.14285714285714285
270,u11467,397,302,359,29,Unknown,105,1,1200.0,0.760705289672544
271,u1147,335,245,149,18,mobile,0,0,0.0,0.7313432835820896
272,u11470,682,489,669,7,mobile,2,0,0.0,0.717008797653959
273,u11471,12,6,4,0,mobile,2,0,0.0,0.5
274,u11475,14,7,4,0,mobile,0,0,0.0,0.5
275,u11488,238,165,173,27,mobile,94,1,1440.0,0.6932773109243697
276,u11489,10,4,0,0,web,1,0,0.0,0.4
277,u1150,55,25,53,0,mobile,1,0,0.0,0.45454545454545453
278,u11500,7,5,0,0,mobile,0,0,0.0,0.7142857142857143
279,u11504,1551,899,1107,0,web,13,1,1200.0,0.5796260477111541
280,u11505,1303,837,346,4,web,39,1,1800.0,0.6423637759017652
281,u11506,47,15,39,0,mobile,6,0,0.0,0.3191489361702128
282,u11507,675,432,732,2,mobile,426,0,0.0,0.64
283,u1151,11,3,1,0,mobile,1,0,0.0,0.2727272727272727
284,u11514,184,133,216,9,mobile,136,1,1440.0,0.7228260869565217
285,u1152,726,523,726,50,mobile,469,1,1200.0,0.7203856749311295
286,u11529,627,268,526,10,Unknown,257,1,1800.0,0.4274322169059011
287,u1154,3988,2754,3830,156,Unknown,9,2,2640.0,0.6905717151454364
288,u1155,19,10,12,7,web,6,0,0.0,0.5263157894736842
289,u1156,320,214,321,9,mobile,81,0,0.0,0.66875
290,u11563,16,10,4,0,Unknown,15,1,1200.0,0.625
291,u1157,122,76,121,0,Unknown,0,1,1200.0,0.6229508196721312
292,u11589,65,35,36,0,Unknown,11,1,8760.0,0.5384615384615384
293,u11600,7,3,2,0,mobile,3,1,1200.0,0.42857142857142855
294,u11601,14,5,7,1,mobile,0,0,0.0,0.35714285714285715
295,u11615,8,6,0,1,mobile,0,1,2400.0,0.75
296,u11629,27,10,17,0,mobile,14,0,0.0,0.37037037037037035
297,u11649,3,1,0,0,mobile,1,0,0.0,0.3333333333333333
298,u11659,6,3,0,0,web,0,0,0.0,0.5
299,u11660,20,13,18,0,Unknown,1,1,720.0,0.65
300,u11663,1040,791,950,20,web,0,0,0.0,0.760576923076923
301,u11664,1072,648,1139,12,mobile,569,0,0.0,0.6044776119402985
302,u11665,122,33,97,2,Unknown,3,1,3600.0,0.27049180327868855
303,u11666,23,13,13,3,Unknown,7,1,2400.0,0.5652173913043478
304,u11667,2010,1375,1831,142,Unknown,1519,2,5520.0,0.6840796019900498
305,u11671,132,69,85,1,Unknown,117,1,2400.0,0.5227272727272727
306,u11675,152,88,145,1,mobile,2,0,0.0,0.5789473684210527
307,u11677,101,68,132,1,mobile,28,1,720.0,0.6732673267326733
308,u1168,0,0,2,0,Unknown,0,1,1440.0,0.0
309,u11688,10,10,0,0,web,3,0,0.0,1.0
310,u11689,2,0,3,3,Unknown,0,2,3840.0,0.0
311,u1169,8,3,1,0,mobile,0,0,0.0,0.375
312,u11698,111,75,106,2,web,4,1,2400.0,0.6756756756756757
313,u11699,70,46,72,0,Unknown,52,1,1200.0,0.6571428571428571
314,u117,660,411,646,2,mobile,18,0,0.0,0.6227272727272727
315,u11700,99,56,63,1,Unknown,0,1,720.0,0.5656565656565656
316,u11701,1,1,0,0,mobile,0,0,0.0,1.0
317,u11703,261,173,254,16,mobile,195,0,0.0,0.6628352490421456
318,u11707,26,10,19,0,web,1,0,0.0,0.38461538461538464
319,u11711,43,31,26,0,Unknown,0,1,1200.0,0.7209302325581395
320,u11713,31,18,26,2,mobile,21,0,0.0,0.5806451612903226
321,u11716,239,146,242,5,mobile,160,0,0.0,0.6108786610878661
322,u11717,1012,704,1019,32,mobile,73,0,0.0,0.6956521739130435
323,u11738,13,6,7,14,mobile,1,1,1440.0,0.46153846153846156
324,u11739,26,18,25,0,Unknown,0,1,2400.0,0.6923076923076923
325,u1178,779,589,649,18,mobile,0,2,3600.0,0.7560975609756098
326,u1179,18,11,15,4,Unknown,0,1,2400.0,0.6111111111111112
327,u1180,284,107,267,63,Unknown,23,1,4320.0,0.3767605633802817
328,u1181,249,171,246,16,mobile,65,1,1440.0,0.6867469879518072
329,u1182,25,19,16,1,mobile,4,0,0.0,0.76
330,u1183,54,37,54,0,mobile,1,0,0.0,0.6851851851851852
331,u11832,68,34,32,0,Unknown,9,1,1200.0,0.5
332,u11833,24,14,25,1,Unknown,1,1,2400.0,0.5833333333333334
333,u1184,151,108,144,8,mobile,110,0,0.0,0.7152317880794702
334,u11844,228,176,240,3,mobile,185,1,2400.0,0.7719298245614035
335,u11845,232,93,85,1,web,1,1,2400.0,0.40086206896551724
336,u11846,43,21,38,0,mobile,21,1,4320.0,0.4883720930232558
337,u11847,27,16,48,2,Unknown,2,1,2400.0,0.5925925925925926
338,u1185,163,109,108,3,mobile,9,0,0.0,0.6687116564417178
339,u11851,42,25,30,9,Unknown,14,3,8160.0,0.5952380952380952
340,u11852,24,17,29,0,mobile,0,0,0.0,0.7083333333333334
341,u11853,292,210,308,13,Unknown,0,1,1800.0,0.7191780821917808
342,u11855,130,85,107,30,Unknown,16,1,720.0,0.6538461538461539
343,u11856,614,485,259,3,Unknown,272,1,2400.0,0.7899022801302932
344,u11857,1686,973,1148,18,mobile,192,1,1200.0,0.5771055753262159
345,u1186,213,161,125,5,Unknown,48,1,1440.0,0.755868544600939
346,u1187,518,320,198,7,Unknown,185,1,4320.0,0.6177606177606177
347,u11879,107,63,89,0,web,1,1,2400.0,0.5887850467289719
348,u11880,6,2,0,0,web,0,0,0.0,0.3333333333333333
349,u11884,97,55,88,0,Unknown,36,1,2400.0,0.5670103092783505
350,u11885,91,57,91,12,Unknown,4,1,1800.0,0.6263736263736264
351,u11886,6,5,0,0,mobile,0,0,0.0,0.8333333333333334
352,u11893,164,108,167,2,mobile,64,0,0.0,0.6585365853658537
353,u11896,363,249,286,23,mobile,74,1,2400.0,0.6859504132231405
354,u11897,2191,1407,2304,217,mobile,1148,2,8640.0,0.6421725239616614
355,u1190,71,46,61,3,web,0,0,0.0,0.647887323943662
356,u1191,7,4,0,0,mobile,1,0,0.0,0.5714285714285714
357,u11918,24,18,20,0,web,0,0,0.0,0.75
358,u1192,611,459,278,3,mobile,0,1,2880.0,0.7512274959083469
359,u11920,851,623,332,20,Unknown,603,1,720.0,0.7320799059929495
360,u11924,154,99,146,1,mobile,0,0,0.0,0.6428571428571429
361,u11925,285,167,277,2,mobile,0,0,0.0,0.5859649122807018
362,u11926,247,159,331,1,mobile,0,1,2400.0,0.6437246963562753
363,u1193,203,137,199,7,Unknown,50,2,2640.0,0.6748768472906403
364,u11930,3,1,0,0,web,0,0,0.0,0.3333333333333333
365,u11931,6,3,9,5,Unknown,1,2,5280.0,0.5
366,u11932,288,134,186,37,web,101,1,2400.0,0.4652777777777778
367,u11935,46,28,35,0,mobile,0,0,0.0,0.6086956521739131
368,u1194,30,18,28,1,Unknown,44,1,1440.0,0.6
369,u11946,62,24,55,1,mobile,4,0,0.0,0.3870967741935484
370,u1195,187,130,182,1,mobile,0,0,0.0,0.6951871657754011
371,u11952,19,9,11,0,mobile,2,0,0.0,0.47368421052631576
372,u1196,13,5,5,0,mobile,0,0,0.0,0.38461538461538464
373,u1197,63,44,32,3,Unknown,24,1,1440.0,0.6984126984126984
374,u11985,17,7,11,0,mobile,0,1,1200.0,0.4117647058823529
375,u11991,619,345,236,47,Unknown,74,1,1800.0,0.5573505654281099
376,u12019,108,59,40,0,Unknown,0,1,1200.0,0.5462962962962963
377,u12023,448,307,453,5,Unknown,125,1,2400.0,0.6852678571428571
378,u12030,189,138,187,7,mobile,8,0,0.0,0.7301587301587301
379,u12031,6,3,0,0,web,0,0,0.0,0.5
380,u12032,34,19,27,1,mobile,0,0,0.0,0.5588235294117647
381,u12033,53,24,50,0,Unknown,17,1,2400.0,0.4528301886792453
382,u12035,8,3,0,0,web,0,0,0.0,0.375
383,u12037,536,358,530,36,mobile,69,0,0.0,0.667910447761194
384,u12042,322,195,328,4,mobile,51,1,1200.0,0.6055900621118012
385,u1208,883,567,559,65,Unknown,0,2,4320.0,0.6421291053227633
386,u12080,77,59,82,0,mobile,27,0,0.0,0.7662337662337663
387,u12081,7,5,18,7,Unknown,0,1,2400.0,0.7142857142857143
388,u1209,73,52,66,4,mobile,0,0,0.0,0.7123287671232876
389,u12094,699,339,730,3,mobile,117,0,0.0,0.48497854077253216
390,u12141,26,8,28,0,Unknown,0,1,2400.0,0.3076923076923077
391,u12143,388,207,393,2,mobile,7,0,0.0,0.5335051546391752
392,u12144,1126,575,461,3,Unknown,3,1,1200.0,0.5106571936056838
393,u12151,1308,851,1311,32,mobile,267,0,0.0,0.650611620795107
394,u12152,110,62,62,1,Unknown,53,1,3600.0,0.5636363636363636
395,u12153,10,4,0,0,web,0,0,0.0,0.4
